ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
352,2018-07-31T07:51:30+0200,2019-07-22T19:52:44+0200,356,osmlab/atlas-generator,0.0,3.0,82.0,710.0,0.4,0.6,18.4,5440.0,6135,6135,0.0,0.00049842166472836,0.014757750206103001,280.0,1085,280.0,1085,791.0,86499.0,24,768,356,2.18181818181818,1.0,0.188202247191011,1,3,1.0,4
120,2019-03-26T18:56:26+0100,2019-07-30T01:05:39+0200,125,ressec/hemajoo-foundation,0.0,2.0,107.0,692.0,1.6,0.0,50.9,1422.0,1422,1422,0.0,0.00140646976090014,0.0752461322081575,166.0,297,166.0,297,62183.5,86601.0,3,128,122,1.06666666666667,976,16,1,2,4.0,4
136,2019-04-21T22:40:53+0200,2019-07-29T20:30:35+0200,98,apache/incubator-tamaya,1.0,0.0,190.0,2102.0,0.8,2.3,62.9,8550.0,8550,8550,0.000116959064327485,0.0,0.0222222222222222,268.0,569,1016.0,1535,2172.0,80525.0,18,162,88,1.19117647058824,0.8979591836734692,0.17346938775510198,2,3,2.0,4
344,2018-10-11T09:54:56+0200,2019-07-29T20:31:55+0200,291,SonarSource/sonarqube,59.0,2.0,3532.0,36152.0,0.4,0.5,89.5,298478.0,298478,298478,0.00019820074039734198,6.68493883280968e-06,0.0118218210834769,1102.0,3006,1492.0,3709,29708.5,983901.0,69,383,162,1.11337209302326,0.556701030927835,0.52233676975945,3,4,4.0,3
344,2017-09-09T14:38:05+0200,2019-07-29T00:24:09+0200,687,gurkenlabs/litiengine,4.0,0.0,104.0,1705.0,0.2,0.3,23.3,32210.0,37932,37932,0.000106128946670204,0.0,0.0030226238817818198,178.0,23894,178.0,23894,3223.5,1767600.0,190,1255,274,3.64825581395349,0.39883551673944706,0.547307132459971,1,2,3.0,2
152,2019-02-27T07:00:05+0100,2019-07-29T19:35:04+0200,152,snuspl/incubator-nemo,58.0,15.0,996.0,10410.0,1.2,0.5,39.2,29614.0,29614,29614,0.00195853312622408,0.000506517187816573,0.0336327412710205,1302.5,3763,1405.0,3126,3324.0,85389.0,129,549,148,3.6118421052631597,0.9736842105263158,0.111842105263158,1,4,3.0,4
176,2019-02-01T17:08:08+0100,2019-07-29T18:01:32+0200,177,deeplyocean/oceans,0.0,0.0,0.0,0.0,0.0,0.0,71.6,419.0,419,419,0.0,0.0,0.0,103.0,354,103.0,354,,,0,179,173,1.01704545454545,0.977401129943503,0.0112994350282486,2,1,,4
744,2018-07-12T19:19:02+0200,2019-07-30T04:17:47+0200,382,osmlab/atlas,159.0,18.0,1283.0,13433.0,0.6,1.1,68.3,74954.0,79991,79991,0.00212130106465299,0.000252286345001577,0.0172768240051191,525.0,2910,524.5,2910,1648.0,86602.0,174,2488,378,3.3440860215053796,0.989528795811518,0.463350785340314,2,4,2.0,4
608,2018-05-20T17:36:06+0200,2019-07-30T14:10:26+0200,435,webauthn4j/webauthn4j,0.0,0.0,4.0,40.0,0.0,0.0,82.9,7794.0,8320,8320,0.0,0.0,0.000497388709276299,310.0,1244,1037.0,3460,1697.0,88678.0,61,1004,267,1.6513157894736799,0.613793103448276,0.27816091954023,3,3,2.0,3
152,2018-10-12T15:19:47+0200,2019-07-26T16:12:47+0200,287,hmcts/sscs-bulk-scan,0.0,0.0,2.0,32.0,0.2,0.0,96.3,1471.0,1510,1510,0.0,0.0,0.00529801324503311,203.0,452,201.0,452,1125.0,251526.0,63,1083,150,7125,0.522648083623693,0.47038327526132395,4,2,2.0,3
160,2019-06-27T13:21:14+0200,2019-07-30T14:20:18+0200,33,alfio-event/alf.io,0.0,1.0,343.5,4457.5,0.5,0.3,51.7,28339.5,28514,28514,0.0,3.52864401291031e-05,0.0120967741935484,238.0,677,459.0,570,1052.0,1726.0,5,167,26,1.04375,0.787878787878788,0.0,1,3,2.0,4
168,2018-09-28T16:50:43+0200,2019-07-30T10:51:34+0200,304,hmcts/send-letter-service,0.0,0.0,20.0,223.0,0.4,0.0,95.1,2150.0,2806,2806,0.0,0.0,0.00813397129186603,330.0,996,327.0,996,3198.5,439119.0,153,941,159,5.60119047619048,0.523026315789474,0.0,4,3,3.0,3
272,2018-01-27T09:02:51+0100,2019-07-30T14:52:19+0200,549,WojciechZankowski/iextrading4j-hist,0.0,0.0,13.0,129.0,0.2,0.8,87.8,2526.0,2526,2526,0.0,0.0,0.0051464766429137,169.0,18395,542.0,1251,86384.0,143617.0,8,589,542,2.16544117647059,0.9872495446265942,0.0,3,2,4.0,4
208,2018-05-26T11:07:02+0200,2019-07-15T14:44:00+0200,415,WojciechZankowski/iextrading4j-book,0.0,0.0,1.0,5.0,0.0,0.0,94.0,727.0,727,727,0.0,0.0,0.00137551581843191,113.0,455,113.0,455,,,0,415,414,1.99519230769231,0.997590361445783,0.0,4,1,,4
120,2019-02-23T12:17:38+0100,2019-07-29T14:35:01+0200,156,romanutti/gephi-plugins,0.0,0.0,16.0,217.0,0.4,0.0,63.1,1336.0,1883,1883,0.0,0.0,0.0089736399326977,229.0,422,229.0,422,11287.5,39893.0,5,211,69,1.7583333333333302,0.442307692307692,0.0,2,2,4.0,2
184,2019-02-11T14:24:27+0100,2019-07-30T12:59:39+0200,168,Mastercard/oauth1-signer-java,0.0,0.0,2.0,20.0,0.1,0.0,83.6,499.0,499,499,0.0,0.0,0.00400801603206413,195.0,765,596.0,1189,86459.0,172868.0,7,200,160,1.08695652173913,0.9523809523809521,0.0,3,2,4.0,4
200,2018-09-21T18:53:53+0200,2019-07-30T11:10:59+0200,311,hmcts/ccd-data-store-api,0.0,4.0,183.0,2283.0,0.4,2.8,94.1,18369.0,18829,18829,0.0,0.000211037248074285,0.010027201450744,674.0,3000,647.0,3000,1470.5,530795.0,656,3503,214,17515,0.688102893890675,0.0,4,4,2.0,3
200,2018-09-24T23:44:53+0200,2019-07-29T11:47:09+0200,307,hmcts/ccd-definition-store-api,0.0,0.0,106.0,1359.0,0.4,0.7,86.8,10399.0,11924,11924,0.0,0.0,0.009984490112446679,551.0,1269,547.0,1269,2071.0,511376.0,360,2342,204,11.71,0.664495114006515,0.0,3,4,2.0,3
