project,lang
luncliff/coroutine,C++
OuiSouss/blackhole,TeX
LibraryOfCongress/concordia,Python
osmlab/atlas-generator,Java
ressec/hemajoo-foundation,Java
apache/incubator-tamaya,Java
Mastercard/oauth1-signer-php,PHP
dsaltares/musicplayer-ui,JavaScript
SonarSource/sonarqube,Java
gurkenlabs/litiengine,Java
Mastercard/client-encryption-python,Python
Mastercard/client-encryption-nodejs,JavaScript
snuspl/incubator-nemo,Java
Mastercard/oauth1-signer-ruby,Ruby
Mastercard/oauth1-signer-csharp,C#
utPLSQL/utPLSQL-demo-project,PLSQL
nabu-3/minimal-class,PHP
deeplyocean/oceans,Java
Mastercard/oauth1-signer-nodejs,JavaScript
eerkunt/terraform-compliance,Python
lkeegan/spatial-model-editor,C++
utPLSQL/utPLSQL,PLSQL
osmlab/atlas,Java
dsaltares/gtd-app,HTML
webauthn4j/webauthn4j,Java
meta-magic/amexio.github.io,CSS
hmcts/ccd-case-management-web,JavaScript
hmcts/sscs-bulk-scan,Java
YetiForceCompany/YetiForceCRM,PHP
ChilliCream/HotChocolate,C#
hmcts/BAR-WEB,TypeScript
steklopod/spring-vue,message
accet9397/accet-ui,TypeScript
alfio-event/alf.io,Java
SonarSource/eslint-plugin-sonarjs,TypeScript
hmcts/send-letter-service,Java
WojciechZankowski/iextrading4j-hist,Java
WojciechZankowski/iextrading4j-book,Java
romanutti/gephi-plugins,Java
Mastercard/oauth1-signer-swift,Swift
Mastercard/oauth1-signer-java,Java
hmcts/ccd-data-store-api,Java
hyperledger-labs/nephos,Python
hmcts/ccd-definition-store-api,Java
hmcts/ccd-user-profile-api,Java
dsaltares/musicplayer-server,JavaScript
KelkooGroup/theGardener,Scala
OpenCerts/opencerts-website,JavaScript
WojciechZankowski/iextrading4j,Java
jinahya/jsonrpc-bind,Java
notification-system/nosy-admin,message
kiwikern/shassi-nest,TypeScript
Siouan/frontend-gradle-plugin,Java
hmcts/ccd-admin-web,TypeScript
hmcts/cmc-citizen-frontend,TypeScript
T-Systems-MMS/skoop-webapp,TypeScript
newtonjose/cs-2019-01,Java
T-Systems-MMS/skoop-server,Java
ystia/yorc,Go
synyx/urlaubsverwaltung,Java
DoublesunRUS/ru.capralow.dt.unit.launcher,Java
hmcts/bulk-scan-orchestrator,Java
TradeTrust/document-renderer,HTML
Lumenol/computer-database,Java
anjo-hsr/Traffic-Analyzer,Python
doppelganger9/babyfoot,TypeScript
doppelganger9/fruit-basket,JavaScript
osmlab/atlas-checks,Java
hmcts/ccd-case-activity-api,JavaScript
trellis-ldp/trellis,Java
dwenzel/t3events,PHP
resilience4j/resilience4j,Java
CJSCommonPlatform/cake-shop,Java
thecampagnards/docktor,TypeScript
CJSCommonPlatform/stream-transformation-tool,Java
amitnema/elasticsearch-elixir,Java
JanMalch/kino,Java
hmcts/rpa-em-ccd-orchestrator,Java
CJSCommonPlatform/event-store,Java
exasol/virtual-schema-common-java,Java
CJSCommonPlatform/framework-generators,Java
eskaton/asn4j,Java
VocabHunter/vocabhunter,Java
lheydel/manguru-back,message
molgenis/molgenis,Java
CJSCommonPlatform/jsonschema-pojo-generator,Java
KengoTODA/guava-helper-for-java-8,Java
CJSCommonPlatform/json-schema-catalog,Java
roysanchez/ServForOracle.NetCore,C#
CJSCommonPlatform/generator-maven-plugin,Java
CJSCommonPlatform/framework-api,Java
hmcts/bulk-scan-processor,Java
pavru/lomout,Kotlin
sflpro/notifier,Java
TradeTrust/tradetrust-website,JavaScript
kreait/firebase-php,PHP
axel3rd/mpg-coach-bot,HTML
mivek/metarParser,Java
dernasherbrezon/r2cloud,Java
miw-upm/betca-tpv-spring,Java
revaturelabs/caliber-2-category-service,Shell
iomega/paired-data-form,TypeScript
m-lab/ndt7-client-ios,Swift
yahoo/fili,Java
RoboZonky/robozonky,Java
KengoTODA/javadocky,Java
metamug/mason,Java
PantheonTechnologies/lighty-core,Java
CJSCommonPlatform/artemis-manager,Java
utilForever/RosettaStone,C++
goldy1992/Mp3Player,Java
polygenesis-projects/polygenesis-platform,Java
hmcts/feature-toggle-api,Java
tsantos84/serializer,PHP
KengoTODA/findbugs-slf4j,Java
c2v4/greenery,Java
imageworks/OpenColorIO,C++
Diplomatiq/crypto-random,TypeScript
