sonar_component_key,repo,project,lang
org.openstreetmap.atlas:atlas-generator,https://github.com/osmlab/atlas-generator,osmlab/atlas-generator,Java
ressec_hemajoo-foundation,https://github.com/ressec/hemajoo-foundation,ressec/hemajoo-foundation,Java
apache_incubator-tamaya,https://github.com/apache/incubator-tamaya,apache/incubator-tamaya,Java
org.sonarsource.sonarqube:sonarqube,https://github.com/SonarSource/sonarqube,SonarSource/sonarqube,Java
de.gurkenlabs:litiengine,https://github.com/gurkenlabs/litiengine,gurkenlabs/litiengine,Java
snuspl_incubator-nemo,https://github.com/snuspl/incubator-nemo,snuspl/incubator-nemo,Java
org.ocean:oceans,https://github.com/deeplyocean/oceans,deeplyocean/oceans,Java
org.openstreetmap.atlas:atlas,https://github.com/osmlab/atlas,osmlab/atlas,Java
webauthn4j,https://github.com/webauthn4j/webauthn4j,webauthn4j/webauthn4j,Java
sscs-bulk-scan,https://github.com/hmcts/sscs-bulk-scan,hmcts/sscs-bulk-scan,Java
alfio-event_alf.io,https://github.com/alfio-event/alf.io,alfio-event/alf.io,Java
uk.gov.hmcts.reform:send-letter-service,https://github.com/hmcts/send-letter-service,hmcts/send-letter-service,Java
pl.zankowski:iextrading4j-hist,https://github.com/WojciechZankowski/iextrading4j-hist,WojciechZankowski/iextrading4j-hist,Java
pl.zankowski:iextrading4j-book,https://github.com/WojciechZankowski/iextrading4j-book,WojciechZankowski/iextrading4j-book,Java
org.gephi:gephi-plugins,https://github.com/romanutti/gephi-plugins,romanutti/gephi-plugins,Java
Mastercard_oauth1-signer-java,https://github.com/Mastercard/oauth1-signer-java,Mastercard/oauth1-signer-java,Java
ccd-data-store-api,https://github.com/hmcts/ccd-data-store-api,hmcts/ccd-data-store-api,Java
ccd-definition-store-api,https://github.com/hmcts/ccd-definition-store-api,hmcts/ccd-definition-store-api,Java
ccd-user-profile-api,https://github.com/hmcts/ccd-user-profile-api,hmcts/ccd-user-profile-api,Java
pl.zankowski:iextrading4j,https://github.com/WojciechZankowski/iextrading4j,WojciechZankowski/iextrading4j,Java
com.github.jinahya:jsonrpc-bind,https://github.com/jinahya/jsonrpc-bind,jinahya/jsonrpc-bind,Java
Siouan_frontend-gradle-plugin,https://github.com/Siouan/frontend-gradle-plugin,Siouan/frontend-gradle-plugin,Java
