metric,value,key,project
AHH,0,AWutdnxbf_Rv2FjSKvnh,alf.io
NOC/NOP,5.09,AWutdnxbf_Rv2FjSKvnh,alf.io
NOP,41,AWutdnxbf_Rv2FjSKvnh,alf.io
NOM/NOC,3.32,AWutdnxbf_Rv2FjSKvnh,alf.io
NOC,209,AWutdnxbf_Rv2FjSKvnh,alf.io
LOC/NOM,3.76,AWutdnxbf_Rv2FjSKvnh,alf.io
NOM,695,AWutdnxbf_Rv2FjSKvnh,alf.io
CALLS/NOM,2.04,AWutdnxbf_Rv2FjSKvnh,alf.io
CYCLO/LOC,0.21,AWutdnxbf_Rv2FjSKvnh,alf.io
LOC,2619,AWutdnxbf_Rv2FjSKvnh,alf.io
CALLS,1421,AWutdnxbf_Rv2FjSKvnh,alf.io
FANOUT/CALLS,0.17,AWutdnxbf_Rv2FjSKvnh,alf.io
CYCLO,574,AWutdnxbf_Rv2FjSKvnh,alf.io
FANOUT,242,AWutdnxbf_Rv2FjSKvnh,alf.io
AHH,0,AWwdgYa5ef921KoSGxrp,alf.io
NOC/NOP,5.14,AWwdgYa5ef921KoSGxrp,alf.io
NOP,41,AWwdgYa5ef921KoSGxrp,alf.io
NOM/NOC,3.34,AWwdgYa5ef921KoSGxrp,alf.io
NOC,211,AWwdgYa5ef921KoSGxrp,alf.io
LOC/NOM,3.81,AWwdgYa5ef921KoSGxrp,alf.io
NOM,706,AWwdgYa5ef921KoSGxrp,alf.io
CALLS/NOM,2.06,AWwdgYa5ef921KoSGxrp,alf.io
CYCLO/LOC,0.21,AWwdgYa5ef921KoSGxrp,alf.io
LOC,2690,AWwdgYa5ef921KoSGxrp,alf.io
CALLS,1457,AWwdgYa5ef921KoSGxrp,alf.io
FANOUT/CALLS,0.17,AWwdgYa5ef921KoSGxrp,alf.io
CYCLO,585,AWwdgYa5ef921KoSGxrp,alf.io
FANOUT,249,AWwdgYa5ef921KoSGxrp,alf.io
AHH,0,AW8FgTREdVQAxCq8K3Or,alf.io
NOC/NOP,5.04,AW8FgTREdVQAxCq8K3Or,alf.io
NOP,43,AW8FgTREdVQAxCq8K3Or,alf.io
NOM/NOC,3.33,AW8FgTREdVQAxCq8K3Or,alf.io
NOC,217,AW8FgTREdVQAxCq8K3Or,alf.io
LOC/NOM,4.08,AW8FgTREdVQAxCq8K3Or,alf.io
NOM,723,AW8FgTREdVQAxCq8K3Or,alf.io
CALLS/NOM,1.88,AW8FgTREdVQAxCq8K3Or,alf.io
CYCLO/LOC,0.21,AW8FgTREdVQAxCq8K3Or,alf.io
LOC,2955,AW8FgTREdVQAxCq8K3Or,alf.io
CALLS,1364,AW8FgTREdVQAxCq8K3Or,alf.io
FANOUT/CALLS,0.19,AW8FgTREdVQAxCq8K3Or,alf.io
CYCLO,643,AW8FgTREdVQAxCq8K3Or,alf.io
FANOUT,261,AW8FgTREdVQAxCq8K3Or,alf.io
AHH,0,AW9I_xWoSNHAm0NvYK9j,alf.io
NOC/NOP,5.04,AW9I_xWoSNHAm0NvYK9j,alf.io
NOP,43,AW9I_xWoSNHAm0NvYK9j,alf.io
NOM/NOC,3.33,AW9I_xWoSNHAm0NvYK9j,alf.io
NOC,217,AW9I_xWoSNHAm0NvYK9j,alf.io
LOC/NOM,4.08,AW9I_xWoSNHAm0NvYK9j,alf.io
NOM,723,AW9I_xWoSNHAm0NvYK9j,alf.io
CALLS/NOM,1.88,AW9I_xWoSNHAm0NvYK9j,alf.io
CYCLO/LOC,0.21,AW9I_xWoSNHAm0NvYK9j,alf.io
LOC,2955,AW9I_xWoSNHAm0NvYK9j,alf.io
CALLS,1364,AW9I_xWoSNHAm0NvYK9j,alf.io
FANOUT/CALLS,0.19,AW9I_xWoSNHAm0NvYK9j,alf.io
CYCLO,643,AW9I_xWoSNHAm0NvYK9j,alf.io
FANOUT,261,AW9I_xWoSNHAm0NvYK9j,alf.io
AHH,0,AW4eXK0apBHGbx8-3aAR,alf.io
NOC/NOP,5.11,AW4eXK0apBHGbx8-3aAR,alf.io
NOP,42,AW4eXK0apBHGbx8-3aAR,alf.io
NOM/NOC,3.41,AW4eXK0apBHGbx8-3aAR,alf.io
NOC,215,AW4eXK0apBHGbx8-3aAR,alf.io
LOC/NOM,3.94,AW4eXK0apBHGbx8-3aAR,alf.io
NOM,734,AW4eXK0apBHGbx8-3aAR,alf.io
CALLS/NOM,2.22,AW4eXK0apBHGbx8-3aAR,alf.io
CYCLO/LOC,0.21,AW4eXK0apBHGbx8-3aAR,alf.io
LOC,2894,AW4eXK0apBHGbx8-3aAR,alf.io
CALLS,1631,AW4eXK0apBHGbx8-3aAR,alf.io
FANOUT/CALLS,0.16,AW4eXK0apBHGbx8-3aAR,alf.io
CYCLO,628,AW4eXK0apBHGbx8-3aAR,alf.io
FANOUT,274,AW4eXK0apBHGbx8-3aAR,alf.io
AHH,0,AWztebT2i-6r2a6V30ab,alf.io
NOC/NOP,5.07,AWztebT2i-6r2a6V30ab,alf.io
NOP,41,AWztebT2i-6r2a6V30ab,alf.io
NOM/NOC,3.35,AWztebT2i-6r2a6V30ab,alf.io
NOC,208,AWztebT2i-6r2a6V30ab,alf.io
LOC/NOM,3.99,AWztebT2i-6r2a6V30ab,alf.io
NOM,698,AWztebT2i-6r2a6V30ab,alf.io
CALLS/NOM,2.21,AWztebT2i-6r2a6V30ab,alf.io
CYCLO/LOC,0.21,AWztebT2i-6r2a6V30ab,alf.io
LOC,2789,AWztebT2i-6r2a6V30ab,alf.io
CALLS,1544,AWztebT2i-6r2a6V30ab,alf.io
FANOUT/CALLS,0.17,AWztebT2i-6r2a6V30ab,alf.io
CYCLO,607,AWztebT2i-6r2a6V30ab,alf.io
FANOUT,264,AWztebT2i-6r2a6V30ab,alf.io
