AHH,CALLS_NOM,CYCLO_LOC,FANOUT_CALLS,LOC_NOM,NOC_NOP,NOM_NOC
0.1,1.44,0.16,0.35,8.57,3.25,1.54
0.1,2.335,0.21,0.36,5.635,5.0649999999999995,4.7
0.0,1.79,0.175,0.39,5.19,3.375,7.23
0.0,2.97,0.17,0.345,8.655000000000001,3.7800000000000002,5.300000000000001
0.0,2.06,0.21,0.17,3.81,5.115,3.34
0.1,6.34,0.10500000000000001,0.275,8.325,4.12,3.255
0.11,1.73,0.21,0.37,6.24,9.35,2.92
0.03,1.63,0.18,0.39,6.1850000000000005,2.995,6.42
0.02,0.6,0.26,0.39,4.1,4.17,6.65
0.03,1.5,0.18,0.33,6.18,2.5,2.48
0.0,0.81,0.24,0.22,4.75,1.0,1.33
0.05,1.15,0.25,0.41,4.14,10.06,7.05
0.17,2.0149999999999997,0.26,0.66,6.055,24.0,4.2
0.0,3.5700000000000003,0.15,0.3,8.515,3.185,2.1950000000000003
0.14,5.04,0.15,0.36,7.61,2.0,2.2
0.0,2.63,0.16,0.3,6.58,2.97,2.26
0.0,2.53,0.165,0.26,5.949999999999999,3.9450000000000003,3.0949999999999998
0.0,4.54,0.16,0.24,6.64,4.25,2.75
0.05,2.3049999999999997,0.195,0.335,5.475,1.355,3.975
0.05,2.51,0.17,0.28,5.95,2.48,9.94
0.01,2.05,0.21,0.3,4.34,3.94,4.23
0.01,2.77,0.16,0.3,6.01,5.69,4.18
0.0,2.61,0.16,0.29,7.08,2.06,2.03
0.05,0.605,0.275,0.59,3.3499999999999996,3.62,3.82
0.0,3.3,0.16,0.23,6.74,6.36,3.81
0.0,1.505,0.28,0.42,4.05,2.6,6.21
0.0,2.335,0.155,0.59,8.34,1.68,2.515
0.0,1.27,0.2,0.45,5.81,1.85,5.5
0.0,3.825,0.175,0.375,7.68,2.1149999999999998,3.94
0.02,4.65,0.11,0.25,9.28,5.35,4.115
0.0,6.05,0.12,0.12,7.5,1.5,6.0
0.0,1.22,0.25,0.29,3.4,1.36,4.73
0.0,8.030000000000001,0.09,0.19,10.76,4.555,2.9
0.03,4.91,0.09,0.25,10.5,3.9,2.17
0.09,1.1749999999999998,0.25,0.48,4.605,4.57,4.19
0.0,2.96,0.15,0.35,8.51,20.6,1.79
