metric,value,key,project
AHH,0.0,AWutdnxbf_Rv2FjSKvnh,alf.io
NOC_NOP,5.09,AWutdnxbf_Rv2FjSKvnh,alf.io
NOM_NOC,3.32,AWutdnxbf_Rv2FjSKvnh,alf.io
LOC_NOM,3.76,AWutdnxbf_Rv2FjSKvnh,alf.io
CALLS_NOM,2.04,AWutdnxbf_Rv2FjSKvnh,alf.io
CYCLO_LOC,0.21,AWutdnxbf_Rv2FjSKvnh,alf.io
FANOUT_CALLS,0.17,AWutdnxbf_Rv2FjSKvnh,alf.io
AHH,0.0,AWwdgYa5ef921KoSGxrp,alf.io
NOC_NOP,5.14,AWwdgYa5ef921KoSGxrp,alf.io
NOM_NOC,3.34,AWwdgYa5ef921KoSGxrp,alf.io
LOC_NOM,3.81,AWwdgYa5ef921KoSGxrp,alf.io
CALLS_NOM,2.06,AWwdgYa5ef921KoSGxrp,alf.io
CYCLO_LOC,0.21,AWwdgYa5ef921KoSGxrp,alf.io
FANOUT_CALLS,0.17,AWwdgYa5ef921KoSGxrp,alf.io
AHH,0.0,AW8FgTREdVQAxCq8K3Or,alf.io
NOC_NOP,5.04,AW8FgTREdVQAxCq8K3Or,alf.io
NOM_NOC,3.33,AW8FgTREdVQAxCq8K3Or,alf.io
LOC_NOM,4.08,AW8FgTREdVQAxCq8K3Or,alf.io
CALLS_NOM,1.88,AW8FgTREdVQAxCq8K3Or,alf.io
CYCLO_LOC,0.21,AW8FgTREdVQAxCq8K3Or,alf.io
FANOUT_CALLS,0.19,AW8FgTREdVQAxCq8K3Or,alf.io
AHH,0.0,AW9I_xWoSNHAm0NvYK9j,alf.io
NOC_NOP,5.04,AW9I_xWoSNHAm0NvYK9j,alf.io
NOM_NOC,3.33,AW9I_xWoSNHAm0NvYK9j,alf.io
LOC_NOM,4.08,AW9I_xWoSNHAm0NvYK9j,alf.io
CALLS_NOM,1.88,AW9I_xWoSNHAm0NvYK9j,alf.io
CYCLO_LOC,0.21,AW9I_xWoSNHAm0NvYK9j,alf.io
FANOUT_CALLS,0.19,AW9I_xWoSNHAm0NvYK9j,alf.io
AHH,0.0,AW4eXK0apBHGbx8-3aAR,alf.io
NOC_NOP,5.11,AW4eXK0apBHGbx8-3aAR,alf.io
NOM_NOC,3.41,AW4eXK0apBHGbx8-3aAR,alf.io
LOC_NOM,3.94,AW4eXK0apBHGbx8-3aAR,alf.io
CALLS_NOM,2.22,AW4eXK0apBHGbx8-3aAR,alf.io
CYCLO_LOC,0.21,AW4eXK0apBHGbx8-3aAR,alf.io
